Time (µs) - ID07 [Steady state]	Correlation Coefficient (g₂-1) - ID07 [Steady state]
3.015E+05	0.002126
3.146E+05	0.001992
3.277E+05	0.001889
3.408E+05	0.001874
3.539E+05	0.001842
3.67E+05	0.001895
3.801E+05	0.001887
3.932E+05	0.001934
4.063E+05	0.001912
4.194E+05	0.00191
4.456E+05	0.001878
4.719E+05	0.001973
4.981E+05	0.002225
5.243E+05	0.00246
5.505E+05	0.002741
5.767E+05	0.002844
6.029E+05	0.002965
6.291E+05	0.00293
6.554E+05	0.00299
6.816E+05	0.002902
7.078E+05	0.002907
7.34E+05	0.002777
7.602E+05	0.002812
7.864E+05	0.002734
8.126E+05	0.002764
8.389E+05	0.00286
8.913E+05	0.003076
9.437E+05	0.003255
9.961E+05	0.003157
1.049E+06	0.003183
1.101E+06	0.003047
1.153E+06	0.002743
1.206E+06	0.00247
1.258E+06	0.002135
1.311E+06	0.002058
1.363E+06	0.001786
1.416E+06	0.001622
1.468E+06	0.001385
1.52E+06	0.001375
1.573E+06	0.001205
1.625E+06	0.0007841
1.678E+06	0.0003696
1.783E+06	0
1.887E+06	0
1.992E+06	0
2.097E+06	0
2.202E+06	0
2.307E+06	0
2.412E+06	0
2.517E+06	0
2.621E+06	0
2.726E+06	0
2.831E+06	0
2.936E+06	0
3.041E+06	0
3.146E+06	0
3.251E+06	0
3.355E+06	0
3.565E+06	0
3.775E+06	0
3.985E+06	0
4.194E+06	0
4.404E+06	0
4.614E+06	0
4.823E+06	0
5.033E+06	0
5.243E+06	0
5.453E+06	0
5.662E+06	0
5.872E+06	0
6.082E+06	0
6.291E+06	0
6.501E+06	0
6.711E+06	0
7.13E+06	0
7.55E+06	0
7.969E+06	0
8.389E+06	0
8.808E+06	0
9.227E+06	0
9.647E+06	0
1.007E+07	0
1.049E+07	0
1.091E+07	0
1.132E+07	0
1.174E+07	0
1.216E+07	0
1.258E+07	0
1.3E+07	0
1.342E+07	0
1.426E+07	0
1.51E+07	0
1.594E+07	0
1.678E+07	0
1.762E+07	0
1.845E+07	0
1.929E+07	0
2.013E+07	0
2.097E+07	0
2.181E+07	0
2.265E+07	0
2.349E+07	0
2.433E+07	0
2.517E+07	0
2.6E+07	0
2.684E+07	0
2.852E+07	0
3.02E+07	0
3.188E+07	0
3.355E+07	0
3.523E+07	0
3.691E+07	0
3.859E+07	0
4.027E+07	0
4.194E+07	0
4.362E+07	0
4.53E+07	0
4.698E+07	0
4.865E+07	0
5.033E+07	0
5.201E+07	0
5.369E+07	0
5.704E+07	0
6.04E+07	0
6.375E+07	0
6.711E+07	0
7.046E+07	0
7.382E+07	0
7.718E+07	0
8.053E+07	0
8.389E+07	0
8.724E+07	0
9.06E+07	0
9.395E+07	0
9.731E+07	0
1.007E+08	0
1.04E+08	0
1.074E+08	0
1.141E+08	0
1.208E+08	0
1.275E+08	0
1.342E+08	0
1.409E+08	0
1.476E+08	0
1.544E+08	0
1.611E+08	0
1.678E+08	0
1.745E+08	0
1.812E+08	0
1.879E+08	0
1.946E+08	0
2.013E+08	0
2.08E+08	0
2.147E+08	0
